epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8291162252426147,9.999999747378752e-06,0.5920757055282593,0.8232306241989136,0.7325398325920105
1,0.8713045716285706,9.999999747378752e-06,0.42716357111930847,0.840234100818634,0.5695698857307434
2,0.8879799842834473,9.999999747378752e-06,0.3706388473510742,0.8543667793273926,0.5065693259239197
3,0.8972119688987732,9.999999747378752e-06,0.33646467328071594,0.8549188375473022,0.509104311466217
4,0.9054707884788513,9.999999747378752e-06,0.3019688129425049,0.8578999638557434,0.4899408221244812
5,0.9128090739250183,9.999999747378752e-06,0.2835649251937866,0.8634205460548401,0.48256856203079224
6,0.9197264313697815,9.999999747378752e-06,0.25815537571907043,0.8644142746925354,0.48119622468948364
7,0.9235139489173889,9.999999747378752e-06,0.24531802535057068,0.8620955944061279,0.4934947192668915
8,0.9259074330329895,9.999999747378752e-06,0.23880842328071594,0.8741304874420166,0.4390502870082855
9,0.928774356842041,9.999999747378752e-06,0.2278924137353897,0.8694931864738464,0.4518123269081116
10,0.9303261637687683,9.999999747378752e-06,0.215886190533638,0.8698244690895081,0.46691396832466125
11,0.9344555735588074,9.999999747378752e-06,0.20399600267410278,0.8722534775733948,0.44521456956863403
12,0.9375854730606079,2.9999998787388904e-06,0.19500984251499176,0.8775532841682434,0.4174853563308716
13,0.9377170205116272,2.9999998787388904e-06,0.19399361312389374,0.8799823522567749,0.4101245105266571
14,0.9385060667991638,2.9999998787388904e-06,0.19648882746696472,0.8775532841682434,0.41002166271209717
15,0.9397948384284973,2.9999998787388904e-06,0.19027972221374512,0.8774428367614746,0.41766801476478577
16,0.941267728805542,2.9999998787388904e-06,0.1812303364276886,0.8793198466300964,0.41076675057411194
17,0.9429247975349426,2.9999998787388904e-06,0.17844253778457642,0.8796510696411133,0.40114182233810425
18,0.9413466453552246,2.9999998787388904e-06,0.1819334775209427,0.8802031874656677,0.4029861092567444
19,0.9435297250747681,2.9999998787388904e-06,0.17626170814037323,0.8845092058181763,0.3856102526187897
