epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.7222777605056763,0.0010000000474974513,0.9483069181442261,0.8196974992752075,0.5986192226409912
1,0.8141241669654846,0.0010000000474974513,0.6106089949607849,0.8034669160842896,0.660439133644104
2,0.8341925144195557,0.0010000000474974513,0.5413699150085449,0.8232306241989136,0.5919732451438904
3,0.8459758162498474,0.0010000000474974513,0.509093165397644,0.8395715951919556,0.5354247093200684
4,0.8522619605064392,0.0010000000474974513,0.4842991232872009,0.8416694402694702,0.5316318869590759
5,0.8596528172492981,0.0010000000474974513,0.4651627540588379,0.8415589928627014,0.5936216115951538
6,0.8576538562774658,0.0010000000474974513,0.4687504172325134,0.845202624797821,0.5512206554412842
7,0.8660705089569092,0.0010000000474974513,0.4405589997768402,0.8411173820495605,0.5889098644256592
8,0.8784061074256897,0.0005000000237487257,0.3980478048324585,0.8542563915252686,0.4961862564086914
9,0.8864808082580566,0.0005000000237487257,0.36719560623168945,0.8670641779899597,0.46265432238578796
